iter	Passed	Remaining
0	40	38249
1	77	36070
2	125	39001
3	170	39767
4	214	39973
5	259	40252
6	297	39565
7	357	41548
8	403	41612
9	447	41483
10	493	41621
11	536	41418
12	597	42499
13	642	42376
14	687	42280
15	732	42199
16	800	43361
17	856	43760
18	902	43633
19	947	43482
20	994	43429
21	1038	43245
22	1084	43157
23	1130	43072
24	1175	42940
25	1218	42724
26	1258	42467
27	1299	42233
28	1341	42041
29	1379	41742
30	1419	41546
31	1468	41569
32	1512	41488
33	1553	41305
34	1597	41221
35	1639	41076
36	1683	40983
37	1721	40781
38	1763	40645
39	1811	40660
40	1855	40588
41	1897	40485
42	1946	40517
43	1994	40534
44	2061	40911
45	2106	40841
46	2162	40987
47	2205	40900
48	2255	40913
49	2298	40821
50	2343	40757
51	2393	40779
52	2444	40811
53	2502	40969
54	2551	40957
55	2598	40922
56	2651	40976
57	2696	40912
58	2741	40837
59	2784	40739
60	2832	40725
61	2877	40650
62	2922	40584
63	2965	40495
64	3009	40416
65	3052	40331
66	3096	40249
67	3136	40133
68	3194	40234
69	3235	40123
70	3281	40075
71	3321	39953
72	3363	39860
73	3401	39718
74	3443	39625
75	3483	39507
76	3522	39392
77	3562	39283
78	3605	39204
79	3645	39095
80	3687	39014
81	3725	38889
82	3766	38798
83	3808	38721
84	3849	38631
85	3888	38523
86	3929	38435
87	3968	38332
88	4010	38254
89	4054	38197
90	4098	38145
91	4137	38047
92	4180	37984
93	4229	37974
94	4283	38008
95	4345	38113
96	4389	38056
97	4429	37964
98	4473	37908
99	4514	37828
100	4555	37753
101	4594	37656
102	4636	37586
103	4675	37490
104	4715	37405
105	4755	37329
106	4798	37268
107	4838	37184
108	4883	37144
109	4922	37055
110	4967	37006
111	5007	36930
112	5053	36897
113	5092	36810
114	5138	36771
115	5178	36694
116	5219	36623
117	5259	36545
118	5299	36475
119	5339	36398
120	5379	36325
121	5418	36241
122	5460	36179
123	5499	36101
124	5540	36033
125	5583	35983
126	5623	35913
127	5663	35842
128	5708	35799
129	5746	35719
130	5789	35665
131	5831	35610
132	5871	35540
133	5917	35503
134	5977	35557
135	6018	35489
136	6061	35440
137	6101	35369
138	6143	35316
139	6184	35252
140	6224	35185
141	6265	35123
142	6307	35067
143	6347	35001
144	6389	34944
145	6433	34899
146	6476	34847
147	6518	34792
148	6586	34875
149	6628	34823
150	6670	34763
151	6716	34729
152	6765	34711
153	6806	34648
154	6846	34587
155	6888	34530
156	6929	34469
157	6969	34404
158	7012	34358
159	7051	34288
160	7094	34237
161	7133	34169
162	7173	34108
163	7214	34046
164	7255	33991
165	7298	33942
166	7340	33890
167	7379	33824
168	7422	33774
169	7463	33716
170	7480	33551
171	7520	33491
172	7561	33435
173	7601	33378
174	7643	33324
175	7686	33279
176	7725	33216
177	7766	33161
178	7809	33113
179	7851	33062
180	7890	32999
181	7933	32955
182	7973	32895
183	8013	32837
184	8056	32793
185	8097	32737
186	8136	32676
187	8178	32627
188	8217	32567
189	8259	32517
190	8301	32467
191	8343	32416
192	8387	32375
193	8428	32321
194	8468	32266
195	8510	32218
196	8551	32167
197	8593	32118
198	8634	32063
199	8675	32011
200	8714	31953
201	8759	31915
202	8828	31967
203	8871	31920
204	8912	31867
205	8955	31821
206	8995	31768
207	9038	31723
208	9078	31666
209	9122	31625
210	9161	31565
211	9201	31509
212	9242	31458
213	9285	31414
214	9326	31362
215	9368	31313
216	9406	31253
217	9449	31209
218	9488	31153
219	9530	31104
220	9571	31053
221	9611	30999
222	9651	30943
223	9693	30899
224	9736	30854
225	9788	30836
226	9826	30779
227	9869	30734
228	9908	30678
229	9952	30636
230	9991	30581
231	10034	30536
232	10075	30484
233	10114	30431
234	10154	30378
235	10196	30328
236	10234	30271
237	10280	30237
238	10319	30181
239	10361	30134
240	10400	30080
241	10440	30028
242	10485	29989
243	10530	29951
244	10571	29901
245	10611	29850
246	10651	29797
247	10694	29753
248	10734	29704
249	10777	29660
250	10817	29606
251	10859	29562
252	10897	29504
253	10939	29459
254	10981	29414
255	11036	29401
256	11083	29369
257	11124	29321
258	11167	29276
259	11211	29235
260	11250	29183
261	11293	29139
262	11334	29090
263	11376	29045
264	11415	28991
265	11460	28953
266	11499	28899
267	11540	28851
